date,real_price,random_walk_constante,rf_recursivo_desde_2009,xgboost_recursivo_desde_2009,rf_recursivo_desde_2018,xgboost_recursivo_desde_2018,rf_recursivo_desde_2024,xgboost_recursivo_desde_2024
2025-06-10,3335.135,2613.165,2686.0317633069776,2971.601204373387,2729.6106370304497,2978.382510932808,3354.9138635754202,2984.986133878108
2025-06-11,3323.01,2613.165,2686.6978594151296,2975.174093909686,2730.6951274408148,2981.0535585762013,3362.694460734285,2986.040482098299
2025-06-12,3342.3917,2613.165,2687.364120705254,2978.7512792914767,2731.780048725618,2983.209583978733,3370.2707001297845,2988.5760119924107
2025-06-13,3384.335,2613.165,2688.030547218314,2981.7255535352306,2732.865401056049,2987.1275188717086,3377.5335174961897,2984.3802670376776
2025-06-16,3434.66,2613.165,2688.6971389952823,2985.310616031053,2733.9511846033643,2991.099740183399,3384.3412769439087,2983.0472123925456
2025-06-17,3389.105,2613.165,2689.363896077142,2988.8999890084638,2735.0373995388886,2994.8779227909286,3391.4719957075326,2974.9557321051393
2025-06-18,3388.6067,2613.165,2690.0308185048857,2992.4936776501477,2736.1240460340155,2998.4227472594685,3398.950293296056,2971.4903442915397
2025-06-19,3386.5167,2613.165,2690.697906319517,2996.091687145022,2737.211124260206,3002.2294816137633,3406.833018179775,2968.8169761202807
2025-06-23,3370.7267,2613.165,2691.36515956205,2999.694022688243,2738.2986343889893,3005.890375693857,3414.5087029104616,2969.005610450109
2025-06-24,3381.4783,2613.165,2692.032578273507,3003.300689481212,2739.3865765919627,3010.3168268775275,3421.8668516503494,2968.427106880711
2025-06-25,3317.6783,2613.165,2692.7001624949235,3006.9116927315854,2740.4749510407923,3013.7790862590264,3428.763969404322,2969.1220959465863
2025-06-26,3329.745,2613.165,2693.3679122673425,3010.5270376532803,2741.5637579072118,3018.3684071627895,3435.9882856218483,2968.0489288377034
2025-06-27,3333.775,2613.165,2694.0358276318184,3014.1467294664835,2742.6529973630227,3021.8399269181896,3443.5647429663527,2968.061666321853
2025-06-30,3273.63,2613.165,2694.7039086294153,3017.7707733976576,2743.742669580096,3026.5546353612954,3451.5509360982787,2967.492722921536
2025-07-01,3298.5117,2613.165,2695.3721553012083,3021.3991746795496,2744.8327747303697,3030.0355703533664,3459.3273714785932,2968.127001511285
2025-07-02,3337.785,2613.165,2696.040567688282,3025.0319385511975,2745.923312985851,3034.7630657310006,3466.782102906751,2968.022975987808
2025-07-03,3352.3617,2613.165,2696.709145831731,3028.6690702579394,2747.0142845186156,3038.253441495153,3473.769751879586,2969.6183319275215
2025-07-04,3329.12,2613.165,2697.3778897726606,3032.310575051419,2748.1056895008064,3042.993758487232,3481.0888941064613,2970.0934081024297
2025-07-07,3337.4583,2613.165,2698.0467995521863,3035.956458189595,2749.197528104636,3044.6983354171743,3488.7647996469404,2972.3675529856146
2025-07-08,3331.728,2613.165,2698.7158752114333,3039.606724936748,2750.289800502385,3047.651711037455,3496.855819146067,2978.2498488024075
2025-07-09,3304.6583,2613.165,2699.3851167915377,3043.2613805634874,2751.3825068664014,3049.7225688904996,3504.7343276239417,2985.2017900886613
2025-07-10,3311.53,2613.165,2700.054524333645,3046.9204303467604,2752.475647369103,3052.0424150094373,3512.286909479851,2998.871941508833
2025-07-11,3318.9683,2613.165,2700.724097878912,3050.5838795698587,2753.569222182976,3054.7795217008115,3519.366277979749,3005.238541355474
2025-07-14,3356.5167,2613.165,2701.393837468504,3054.2517335224265,2754.663231480574,3056.9888688723754,3526.7814908973774,3005.3091170687085
2025-07-15,3349.6,2613.165,2702.0637431435985,3057.301394743929,2755.7576754345205,3061.0037002208383,3534.5581499858226,3011.935508173085
2025-07-17,3328.6433,2613.165,2702.7338149453817,3060.9773254665693,2756.852554217507,3065.0741605732546,3542.755371797745,3013.180695973295
2025-07-18,3337.595,2613.165,2703.4040529150507,3064.6576759257464,2757.9478680022935,3068.9457833508877,3550.737293179496,3019.0104978540894
2025-07-21,3351.634,2613.165,2704.0744570938127,3068.3424514355074,2759.043616961709,3072.5782766898174,3558.389009842924,3021.733096694835
2025-07-22,3394.524,2613.165,2704.7450275228853,3072.03165731629,2760.139801268651,3076.4791573420957,3565.561301775759,3027.7462267139185
2025-07-23,3429.9967,2613.165,2705.4157642434957,3075.7252988949276,2761.236421096085,3080.2305908696194,3573.0738464031683,3034.788077862904
2025-07-24,3393.994,2613.165,2706.0866672968823,3079.423381504659,2762.3334766170465,3084.766514885739,3580.952581525555,3041.295323541391
2025-07-25,3370.8417,2613.165,2706.7577367242925,3083.1259104851356,2763.430968004639,3088.314401178151,3589.25739965646,3046.5019134954546
2025-07-28,3338.6317,2613.165,2707.428972566985,3086.832891182428,2764.528895432035,3093.017222928869,3597.3440913346353,3040.8017579054845
2025-07-29,3313.435,2613.165,2708.1003748662283,3090.5443289490354,2765.627259072475,3096.5745986182346,3605.0962440440526,3048.3216506538106
2025-07-30,3328.7983,2613.165,2708.771943663301,3094.2602291438925,2766.72605909927,3101.405908931783,3612.362679118107,3043.8507032178572
2025-07-31,3292.1717,2613.165,2709.4436789994925,3097.980597132377,2767.825295685798,3104.972932710862,3619.973833026398,3040.815418802086
2025-08-01,3295.1917,2613.165,2710.1155809161014,3101.705438286318,2768.9249690055076,3109.817346199169,3627.955984027586,3038.6196147545734
2025-08-04,3348.86,2613.165,2710.7876494544375,3105.4347579840028,2770.025079231915,3113.3940442349017,3636.369810781316,3038.79095034181
2025-08-05,3375.696,2613.165,2711.4598846558206,3109.168561610186,2771.1256265386055,3118.2515964355703,3644.562647965528,3036.738248758888
2025-08-06,3379.8383,2613.165,2712.1322865615807,3112.9068545560954,2772.226611099234,3119.998330131036,3652.416555039395,3036.3157861123677
2025-08-07,3371.2483,2613.165,2712.8048552130576,3116.6496422194423,2773.3280330875245,3123.024747197166,3659.778368972779,3036.2019506208617
2025-08-08,3390.554,2613.165,2713.4775906516024,3120.396930004427,2774.429892677269,3125.1468204969347,3667.4894265023863,3036.6536560807394
2025-08-11,3395.305,2613.165,2714.1504929185753,3124.1487233217476,2775.532190042329,3127.524039918988,3675.576350813971,3035.8261301958964
2025-08-12,3355.27,2613.165,2714.8235620553473,3127.9050275886084,2776.634925356636,3130.3288393985094,3684.1006170321966,3035.2441971245985
2025-08-13,3349.0333,2613.165,2715.4967981033,3131.665848228726,2777.7380987941888,3132.592827067099,3692.40099298299,3035.257222979555
2025-08-14,3352.762,2613.165,2716.1702011038246,3134.7928072122386,2778.8417105290573,3136.706951266942,3700.357990043949,3036.0159822870096
2025-08-18,3337.812,2613.165,2716.843771098323,3138.561909339021,2779.9457607353793,3140.878080260141,3707.8164347747474,3035.9095774223656
2025-08-19,3332.39,2613.165,2717.5175081282073,3142.335543226502,2781.0502495873616,3144.845454124605,3715.628707255553,3036.946083721115
2025-08-20,3318.745,2613.165,2718.1914122349,3146.113714323421,2782.155177259281,3148.5677845176815,3723.8217801267087,3037.6853534429756
2025-08-21,3345.1183,2613.165,2718.865483459833,3149.8964280850682,2783.260543925484,3152.5651398482814,3732.457935432256,3038.6565601220736
2025-08-22,3338.855,2613.165,2719.5397218444496,3153.683689973294,2784.3663497603843,3156.409352000704,3740.8672616980425,3044.6700414475317
2025-08-25,3372.95,2613.165,2720.214127430203,3157.475505456515,2785.472594938467,3161.057456277989,3748.928701900051,3049.12601484608
2025-08-26,3371.5367,2613.165,2720.8887002585566,3161.2718800097227,2786.5792796342857,3164.6930871643253,3756.485045799224,3061.6349582458565
2025-08-27,3383.8133,2613.165,2721.5634403709837,3165.0728191144917,2787.6864040224636,3169.512216809606,3764.399861773558,3071.2049763275413
2025-08-28,3394.6433,2613.165,2722.2383478089687,3168.8783282589875,2788.793968277693,3173.1575717800347,3772.70047650491,3079.6311398257258
2025-08-29,3418.6283,2613.165,2722.9134226140054,3172.6884129379737,2789.901972574735,3178.1083677046336,3781.4499895482813,3082.2711043498143
2025-09-01,3443.6617,2613.165,2723.588664827599,3176.503078652821,2791.010417088421,3181.763609376627,3789.9696962053863,3087.4096876993203
2025-09-02,3476.5367,2613.165,2724.264074491264,3180.322330911514,2792.1193019936522,3186.7278325373136,3798.1369504638324,3087.372146811947
