date,real_price,random_walk_constante,rf_recursivo_desde_2009,rf_recursivo_desde_2018,rf_recursivo_desde_2024
2025-11-12,4114.775,2613.165,2756.8814759008155,2845.8671233850973,4215.781887457482
2025-11-13,4199.515,2613.165,2757.5651416886963,2846.997803183386,4224.27922103691
2025-11-14,4202.9075,2613.165,2758.24897701557,2848.12893220743,4233.1796671324155
2025-11-17,4099.9717,2613.165,2758.93298192348,2849.260510635708,4242.513955410947
2025-11-18,4075.0367,2613.165,2759.6171564544798,2850.392538646772,4252.353043199846
2025-11-19,4068.0867,2613.165,2760.3015006506334,2851.525016419244,4261.933706868715
2025-11-20,4072.9567,2613.165,2760.9860145540156,2852.657944131816,4271.118027326867
2025-11-21,4057.515,2613.165,2761.6706982067108,2853.791321963252,4279.726896477162
2025-11-24,4083.6217,2613.165,2762.3555516508145,2854.9251500923874,4288.7441693780365
2025-11-25,4094.0867,2613.165,2763.0405749284323,2856.059428698128,4298.200979052493
2025-11-26,4150.2167,2613.165,2763.7257680816806,2857.194157959451,4308.169214210162
2025-11-27,4167.9533,2613.165,2764.4111311526863,2858.3293380554037,4317.875633185869
2025-11-28,4157.14,2613.165,2765.0966641835857,2859.464969165106,4327.180506569919
2025-12-01,4211.1583,2613.165,2765.7823672165273,2860.6010514677487,4335.902375301343
2025-12-02,4233.4583,2613.165,2766.4682402936683,2861.7375851425927,4345.038008470326
2025-12-03,4192.5883,2613.165,2767.1542834571774,2862.874570368971,4354.618947750352
2025-12-04,4210.8567,2613.165,2767.840496749234,2864.012007326288,4364.718025458623
2025-12-05,4213.805,2613.165,2768.5268802120268,2865.1498961940183,4374.551850398967
2025-12-09,4214.88,2613.165,2769.213433887756,2866.2882371517094,4383.978859080523
2025-12-10,4208.0267,2613.165,2769.900157818631,2867.427030378979,4392.815210619865
2025-12-11,4200.4867,2613.165,2770.587052046874,2868.5662760555165,4402.070757647849
2025-12-12,4277.225,2613.165,2771.2741166147152,2869.7059743610826,4411.777455852372
2025-12-15,4287.325,2613.165,2771.961351564397,2870.84612547551,4422.0090935439475
2025-12-16,4300.6133,2613.165,2772.6487569381707,2871.986729578701,4431.971996773178
2025-12-17,4303.26,2613.165,2773.3363327782995,2873.127786850632,4441.522743893979
2025-12-18,4339.045,2613.165,2774.0240791270567,2874.2692974713495,4450.475080936786
2025-12-19,4331.0867,2613.165,2774.7119960267255,2875.4112616209713,4459.852115807021
2025-12-22,4352.1233,2613.165,2775.4000835196002,2876.553679479687,4469.686223641324
2025-12-23,4437.6917,2613.165,2776.0883416479855,2877.6965512277584,4480.052161291842
2025-12-24,4476.15,2613.165,2776.776770454196,2878.839877045518,4490.145837085051
2025-12-26,4481.7467,2613.165,2777.465369980558,2879.98365711337,4499.821946829595
2025-12-29,4522.1933,2613.165,2778.154140269407,2881.1278916117913,4508.891791795721
2025-12-30,4326.6517,2613.165,2778.84308136309,2882.2725807213296,4518.39190915148
